epoch,S,Fw,E,MAE
30,0.8336,0.7618,0.8975,0.0684
35,0.8339,0.7686,0.9084,0.0638
40,0.8390,0.7742,0.9100,0.0638
45,0.8267,0.7559,0.8930,0.0685
50,0.8139,0.7437,0.8977,0.0698
55,0.8171,0.7488,0.8989,0.0660
60,0.8170,0.7497,0.8992,0.0658
65,0.8165,0.7550,0.8956,0.0682
70,0.8225,0.7600,0.8973,0.0668
75,0.8363,0.7796,0.9117,0.0598
80,0.8468,0.7940,0.9127,0.0591
85,0.8448,0.7949,0.9118,0.0594
90,0.8550,0.8029,0.9198,0.0561
95,0.8303,0.7747,0.9032,0.0634
100,0.8597,0.8139,0.9220,0.0538
105,0.8540,0.8004,0.9123,0.0589
110,0.8524,0.8051,0.9195,0.0545
115,0.8556,0.8085,0.9183,0.0526
120,0.8604,0.8093,0.9239,0.0523
125,0.8616,0.8120,0.9249,0.0513
130,0.8629,0.8131,0.9249,0.0508
135,0.8618,0.8093,0.9234,0.0523
140,0.8628,0.8115,0.9239,0.0519
145,0.8616,0.8083,0.9225,0.0529
150,0.8613,0.8066,0.9225,0.0536
