epoch,S,Fw,E,MAE
30,0.8528,0.7388,0.9263,0.0293
35,0.8561,0.7485,0.9315,0.0269
40,0.8579,0.7467,0.9316,0.0273
45,0.8433,0.7245,0.9152,0.0325
50,0.8515,0.7441,0.9303,0.0279
55,0.8427,0.7349,0.9230,0.0276
60,0.8497,0.7452,0.9304,0.0270
65,0.8527,0.7564,0.9298,0.0264
70,0.8570,0.7604,0.9344,0.0254
75,0.8567,0.7648,0.9345,0.0250
80,0.8616,0.7700,0.9348,0.0253
85,0.8588,0.7709,0.9356,0.0252
90,0.8600,0.7677,0.9336,0.0257
95,0.8527,0.7618,0.9292,0.0286
100,0.8619,0.7724,0.9367,0.0259
105,0.8513,0.7526,0.9177,0.0308
110,0.8600,0.7741,0.9355,0.0248
115,0.8620,0.7728,0.9366,0.0245
120,0.8582,0.7623,0.9316,0.0259
125,0.8603,0.7660,0.9340,0.0257
130,0.8607,0.7684,0.9346,0.0253
135,0.8602,0.7637,0.9342,0.0264
140,0.8613,0.7664,0.9353,0.0259
145,0.8590,0.7609,0.9319,0.0270
150,0.8577,0.7566,0.9317,0.0282
