epoch,S,Fw,E,MAE
30,0.8467,0.7709,0.9091,0.0644
35,0.8427,0.7706,0.9093,0.0658
40,0.8421,0.7752,0.9076,0.0649
45,0.8379,0.7636,0.8999,0.0656
50,0.8196,0.7476,0.8959,0.0702
55,0.8114,0.7324,0.8905,0.0696
60,0.8164,0.7459,0.9013,0.0667
65,0.8239,0.7563,0.8995,0.0645
70,0.8460,0.7889,0.9168,0.0573
75,0.8490,0.7965,0.9148,0.0551
80,0.8442,0.7851,0.9049,0.0583
85,0.8533,0.8011,0.9134,0.0570
90,0.8525,0.8044,0.9133,0.0573
95,0.8594,0.8112,0.9218,0.0530
100,0.8572,0.8135,0.9198,0.0523
105,0.8564,0.8048,0.9142,0.0553
110,0.8577,0.8086,0.9212,0.0548
115,0.8590,0.8110,0.9206,0.0516
120,0.8591,0.8147,0.9212,0.0532
125,0.8581,0.8127,0.9201,0.0533
130,0.8596,0.8145,0.9212,0.0528
135,0.8606,0.8135,0.9209,0.0529
140,0.8616,0.8133,0.9194,0.0533
145,0.8606,0.8116,0.9195,0.0536
150,0.8615,0.8138,0.9214,0.0525
