epoch,S,Fw,E,MAE
30,0.8561,0.7363,0.9305,0.0286
35,0.8542,0.7313,0.9278,0.0296
40,0.8577,0.7453,0.9321,0.0279
45,0.8490,0.7306,0.9225,0.0300
50,0.8552,0.7446,0.9294,0.0276
55,0.8431,0.7258,0.9259,0.0293
60,0.8488,0.7452,0.9271,0.0271
65,0.8535,0.7516,0.9295,0.0263
70,0.8610,0.7649,0.9377,0.0249
75,0.8587,0.7683,0.9354,0.0249
80,0.8579,0.7642,0.9355,0.0254
85,0.8554,0.7605,0.9296,0.0262
90,0.8566,0.7679,0.9310,0.0260
95,0.8602,0.7672,0.9318,0.0252
100,0.8562,0.7695,0.9319,0.0253
105,0.8565,0.7634,0.9279,0.0274
110,0.8581,0.7606,0.9319,0.0267
115,0.8570,0.7636,0.9301,0.0265
120,0.8598,0.7721,0.9340,0.0256
125,0.8607,0.7719,0.9346,0.0256
130,0.8598,0.7712,0.9333,0.0259
135,0.8607,0.7696,0.9333,0.0259
140,0.8586,0.7658,0.9309,0.0271
145,0.8593,0.7660,0.9321,0.0267
150,0.8595,0.7675,0.9316,0.0266
