epoch,S,Fw,E,MAE
30,0.8492,0.7769,0.9100,0.0641
35,0.8475,0.7765,0.9099,0.0625
40,0.8479,0.7832,0.9145,0.0618
45,0.8375,0.7729,0.9083,0.0627
50,0.8259,0.7590,0.9008,0.0649
55,0.8135,0.7355,0.9033,0.0710
60,0.8219,0.7535,0.9025,0.0668
65,0.8162,0.7510,0.8902,0.0689
70,0.8425,0.7861,0.9109,0.0560
75,0.8466,0.7976,0.9126,0.0558
80,0.8430,0.7902,0.9026,0.0579
85,0.8443,0.7979,0.9113,0.0557
90,0.8509,0.8032,0.9118,0.0553
95,0.8472,0.8026,0.9107,0.0566
100,0.8560,0.8104,0.9206,0.0537
105,0.8562,0.8050,0.9145,0.0541
110,0.8459,0.7979,0.9133,0.0556
115,0.8551,0.8099,0.9179,0.0521
120,0.8557,0.8146,0.9222,0.0518
125,0.8570,0.8156,0.9236,0.0512
130,0.8567,0.8152,0.9229,0.0517
135,0.8568,0.8159,0.9240,0.0509
140,0.8552,0.8131,0.9210,0.0519
145,0.8556,0.8136,0.9209,0.0519
150,0.8548,0.8137,0.9209,0.0521
