epoch,S,Fw,E,MAE
30,0.8508,0.7275,0.9231,0.0299
35,0.8546,0.7325,0.9285,0.0282
40,0.8554,0.7433,0.9299,0.0280
45,0.8511,0.7418,0.9270,0.0288
50,0.8524,0.7461,0.9300,0.0269
55,0.8415,0.7218,0.9212,0.0298
60,0.8507,0.7432,0.9291,0.0270
65,0.8474,0.7459,0.9236,0.0274
70,0.8543,0.7608,0.9320,0.0255
75,0.8589,0.7717,0.9350,0.0244
80,0.8584,0.7704,0.9350,0.0244
85,0.8527,0.7715,0.9357,0.0240
90,0.8572,0.7743,0.9364,0.0243
95,0.8569,0.7743,0.9364,0.0250
100,0.8569,0.7697,0.9315,0.0254
105,0.8481,0.7527,0.9202,0.0286
110,0.8544,0.7629,0.9342,0.0257
115,0.8552,0.7703,0.9325,0.0251
120,0.8589,0.7766,0.9367,0.0242
125,0.8596,0.7792,0.9370,0.0243
130,0.8599,0.7779,0.9367,0.0244
135,0.8606,0.7792,0.9367,0.0240
140,0.8598,0.7790,0.9367,0.0243
145,0.8593,0.7778,0.9363,0.0246
150,0.8592,0.7782,0.9356,0.0245
