epoch,stage,total,bce,aux_p3,aux_p3_weight,clean_iou,unvalue_accepted,unvalue_batch_count,unvalue_consistency,unvalue_dynamic,unvalue_dynamic_weight,unvalue_out,unvalue_out_weight,unvalue_reliable_pixel
1,mask_warmup,0.431906,0.431906,0.000000,0.000000,0.824207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,mask_warmup,0.257845,0.257845,0.000000,0.000000,0.751078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,mask_warmup,0.171293,0.171293,0.000000,0.000000,0.678463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,mask_warmup,0.123824,0.123824,0.000000,0.000000,0.613222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,mask_warmup,0.092196,0.092196,0.000000,0.000000,0.543718,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,mask_warmup,0.074152,0.074152,0.000000,0.000000,0.477718,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,mask_warmup,0.060582,0.060582,0.000000,0.000000,0.437901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,mask_warmup,0.052248,0.052248,0.000000,0.000000,0.381156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,mask_warmup,0.045942,0.045942,0.000000,0.000000,0.336567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,mask_warmup,0.041268,0.041268,0.000000,0.000000,0.305036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,mask_warmup,0.038097,0.038097,0.000000,0.000000,0.282309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,mask_warmup,0.033713,0.033713,0.000000,0.000000,0.254206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,mask_warmup,0.030980,0.030980,0.000000,0.000000,0.240701,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,mask_warmup,0.029562,0.029562,0.000000,0.000000,0.223441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,mask_warmup,0.027783,0.027783,0.000000,0.000000,0.205278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,mask_warmup,0.027314,0.027314,0.000000,0.000000,0.198851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,mask_warmup,0.024760,0.024760,0.000000,0.000000,0.200295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,mask_warmup,0.027045,0.027045,0.000000,0.000000,0.191572,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,mask_warmup,0.024220,0.024220,0.000000,0.000000,0.179022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,mask_warmup,0.023259,0.023259,0.000000,0.000000,0.174616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,mask_warmup,0.023326,0.023326,0.000000,0.000000,0.162297,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,mask_warmup,0.024140,0.024140,0.000000,0.000000,0.166778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,mask_warmup,0.022131,0.022131,0.000000,0.000000,0.154086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,mask_warmup,0.021618,0.021618,0.000000,0.000000,0.150812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,mask_warmup,0.022972,0.022972,0.000000,0.000000,0.157825,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
