epoch,S,Fw,E,MAE
30,0.8429,0.7714,0.9100,0.0647
35,0.8434,0.7744,0.9049,0.0670
40,0.8389,0.7723,0.9063,0.0655
45,0.8267,0.7592,0.9002,0.0687
50,0.8327,0.7680,0.9074,0.0638
55,0.8205,0.7453,0.8910,0.0667
60,0.8222,0.7536,0.8969,0.0673
65,0.8182,0.7512,0.8926,0.0691
70,0.8065,0.7433,0.8817,0.0685
75,0.8094,0.7506,0.8869,0.0705
80,0.8083,0.7462,0.8827,0.0715
85,0.7649,0.6771,0.8432,0.0824
90,0.7898,0.7195,0.8631,0.0745
95,0.7705,0.6835,0.8267,0.0790
100,0.7679,0.6827,0.8319,0.0811
105,0.7739,0.6873,0.8357,0.0803
110,0.7504,0.6516,0.8050,0.0884
115,0.7665,0.6781,0.8314,0.0810
120,0.7488,0.6488,0.7928,0.0854
125,0.7635,0.6713,0.8056,0.0815
130,0.7600,0.6670,0.8057,0.0825
135,0.7641,0.6712,0.8072,0.0814
140,0.7634,0.6708,0.8051,0.0815
145,0.7634,0.6705,0.8077,0.0820
150,0.7587,0.6645,0.8020,0.0833
