epoch,S,Fw,E,MAE
30,0.8544,0.7334,0.9290,0.0287
35,0.8571,0.7391,0.9299,0.0293
40,0.8593,0.7466,0.9338,0.0273
45,0.8547,0.7476,0.9304,0.0272
50,0.8554,0.7501,0.9299,0.0268
55,0.8466,0.7335,0.9243,0.0275
60,0.8526,0.7458,0.9282,0.0275
65,0.8488,0.7524,0.9267,0.0271
70,0.8394,0.7435,0.9137,0.0269
75,0.8436,0.7549,0.9194,0.0264
80,0.8396,0.7472,0.9132,0.0270
85,0.8206,0.7258,0.8943,0.0288
90,0.8239,0.7296,0.8995,0.0280
95,0.8175,0.7163,0.8885,0.0284
100,0.8154,0.7172,0.8825,0.0290
105,0.8171,0.7172,0.8843,0.0285
110,0.7964,0.6836,0.8605,0.0319
115,0.8006,0.6875,0.8611,0.0300
120,0.7765,0.6457,0.8267,0.0334
125,0.7923,0.6728,0.8464,0.0311
130,0.7891,0.6693,0.8403,0.0312
135,0.7927,0.6742,0.8433,0.0309
140,0.7912,0.6715,0.8419,0.0311
145,0.7946,0.6759,0.8440,0.0309
150,0.7917,0.6733,0.8410,0.0311
