epoch,stage,total,bce,aux_p3,aux_p3_weight,clean_iou,unvalue_accepted,unvalue_batch_count,unvalue_consistency,unvalue_dynamic,unvalue_dynamic_weight,unvalue_out,unvalue_out_weight,unvalue_reliable_pixel
1,mask_warmup,0.432400,0.432400,0.000000,0.000000,0.824028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,mask_warmup,0.260861,0.260861,0.000000,0.000000,0.753077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,mask_warmup,0.172783,0.172783,0.000000,0.000000,0.681067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,mask_warmup,0.126159,0.126159,0.000000,0.000000,0.615644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,mask_warmup,0.094913,0.094913,0.000000,0.000000,0.547590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,mask_warmup,0.076298,0.076298,0.000000,0.000000,0.481983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,mask_warmup,0.059542,0.059542,0.000000,0.000000,0.437560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,mask_warmup,0.054070,0.054070,0.000000,0.000000,0.385060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,mask_warmup,0.046623,0.046623,0.000000,0.000000,0.339097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,mask_warmup,0.042076,0.042076,0.000000,0.000000,0.306281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,mask_warmup,0.038864,0.038864,0.000000,0.000000,0.284214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,mask_warmup,0.033249,0.033249,0.000000,0.000000,0.253186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,mask_warmup,0.032438,0.032438,0.000000,0.000000,0.245047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,mask_warmup,0.031664,0.031664,0.000000,0.000000,0.231461,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,mask_warmup,0.028486,0.028486,0.000000,0.000000,0.208881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,mask_warmup,0.027098,0.027098,0.000000,0.000000,0.197666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,mask_warmup,0.024763,0.024763,0.000000,0.000000,0.200812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,mask_warmup,0.024283,0.024283,0.000000,0.000000,0.185493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,mask_warmup,0.024892,0.024892,0.000000,0.000000,0.181420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,mask_warmup,0.024441,0.024441,0.000000,0.000000,0.176616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,mask_warmup,0.025075,0.025075,0.000000,0.000000,0.171217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,mask_warmup,0.022922,0.022922,0.000000,0.000000,0.165541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,mask_warmup,0.022470,0.022470,0.000000,0.000000,0.155777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,mask_warmup,0.021714,0.021714,0.000000,0.000000,0.153175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,mask_warmup,0.022609,0.022609,0.000000,0.000000,0.153984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,mask_warmup,0.020293,0.020293,0.000000,0.000000,0.150400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,mask_warmup,0.020316,0.020316,0.000000,0.000000,0.147878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,mask_warmup,0.019312,0.019312,0.000000,0.000000,0.149424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,mask_warmup,0.019338,0.019338,0.000000,0.000000,0.141651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,mask_warmup,0.018449,0.018449,0.000000,0.000000,0.136206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,mask_warmup,0.018469,0.018469,0.000000,0.000000,0.140517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
