epoch,S,Fw,E,MAE
30,0.8407,0.7700,0.9097,0.0649
35,0.8408,0.7782,0.9122,0.0627
40,0.8455,0.7797,0.9146,0.0622
45,0.8468,0.7807,0.9118,0.0612
50,0.8266,0.7647,0.9049,0.0664
55,0.8256,0.7610,0.9032,0.0645
60,0.8251,0.7607,0.8994,0.0650
65,0.8177,0.7523,0.8897,0.0674
70,0.8101,0.7481,0.8724,0.0675
75,0.8216,0.7631,0.8917,0.0636
80,0.8186,0.7613,0.8799,0.0630
85,0.7846,0.7093,0.8387,0.0736
90,0.8174,0.7593,0.8817,0.0643
95,0.8164,0.7591,0.8831,0.0638
100,0.8087,0.7487,0.8713,0.0661
105,0.8034,0.7394,0.8637,0.0665
110,0.7993,0.7354,0.8560,0.0679
115,0.7919,0.7260,0.8489,0.0707
120,0.8004,0.7372,0.8685,0.0665
125,0.8029,0.7414,0.8671,0.0654
