epoch,S,Fw,E,MAE
30,0.8552,0.7421,0.9271,0.0296
35,0.8572,0.7552,0.9324,0.0268
40,0.8547,0.7435,0.9292,0.0285
45,0.8574,0.7524,0.9305,0.0276
50,0.8564,0.7589,0.9311,0.0262
55,0.8457,0.7405,0.9233,0.0276
60,0.8538,0.7541,0.9320,0.0261
65,0.8515,0.7578,0.9258,0.0262
70,0.8490,0.7602,0.9223,0.0263
75,0.8505,0.7647,0.9269,0.0256
80,0.8423,0.7563,0.9185,0.0252
85,0.8311,0.7380,0.9032,0.0277
90,0.8391,0.7464,0.9082,0.0261
95,0.8353,0.7446,0.9093,0.0266
100,0.8295,0.7426,0.9037,0.0265
105,0.8368,0.7527,0.9129,0.0257
110,0.8268,0.7368,0.9008,0.0279
115,0.8242,0.7305,0.8937,0.0280
120,0.8222,0.7278,0.8901,0.0280
