epoch,stage,total,bce,aux_p3,aux_p3_weight,clean_iou,unvalue_accepted,unvalue_batch_count,unvalue_consistency,unvalue_dynamic,unvalue_dynamic_weight,unvalue_out,unvalue_out_weight,unvalue_reliable_pixel
1,mask_warmup,0.511499,0.429456,0.000000,0.000000,0.820429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,mask_warmup,0.332190,0.257572,0.000000,0.000000,0.746173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,mask_warmup,0.234330,0.167776,0.000000,0.000000,0.665539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,mask_warmup,0.177957,0.119027,0.000000,0.000000,0.589308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,mask_warmup,0.136083,0.085540,0.000000,0.000000,0.505429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,mask_warmup,0.111093,0.068241,0.000000,0.000000,0.428527,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,mask_warmup,0.089277,0.052174,0.000000,0.000000,0.371024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,mask_warmup,0.076098,0.045501,0.000000,0.000000,0.305974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,mask_warmup,0.067892,0.042333,0.000000,0.000000,0.255587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,mask_warmup,0.061497,0.039392,0.000000,0.000000,0.221046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,mask_warmup,0.054525,0.034703,0.000000,0.000000,0.198222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,mask_warmup,0.047194,0.029990,0.000000,0.000000,0.172038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,mask_warmup,0.045224,0.029101,0.000000,0.000000,0.161222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,mask_warmup,0.045541,0.030180,0.000000,0.000000,0.153610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,mask_warmup,0.042145,0.027670,0.000000,0.000000,0.144750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,mask_warmup,0.039521,0.026058,0.000000,0.000000,0.134628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,mask_warmup,0.037066,0.023595,0.000000,0.000000,0.134717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,mask_warmup,0.035625,0.023149,0.000000,0.000000,0.124759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,mask_warmup,0.037144,0.024919,0.000000,0.000000,0.122241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,mask_warmup,0.034075,0.022517,0.000000,0.000000,0.115584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,mask_warmup,0.033668,0.022664,0.000000,0.000000,0.110042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,mask_warmup,0.033404,0.022220,0.000000,0.000000,0.111841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,mask_warmup,0.033778,0.023135,0.000000,0.000000,0.106427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
