epoch,S,Fw,E,MAE
30,0.8596,0.7966,0.9165,0.0579
35,0.8479,0.7926,0.9111,0.0642
40,0.8540,0.7985,0.9100,0.0588
45,0.8434,0.7894,0.9069,0.0597
50,0.8530,0.7992,0.9147,0.0570
55,0.8624,0.8138,0.9216,0.0535
60,0.8500,0.7993,0.9129,0.0577
65,0.8422,0.7936,0.9126,0.0574
70,0.8472,0.8005,0.9140,0.0578
75,0.8503,0.8059,0.9167,0.0566
80,0.8499,0.8069,0.9174,0.0566
85,0.8509,0.8066,0.9162,0.0539
90,0.8493,0.8076,0.9147,0.0574
95,0.8493,0.8067,0.9146,0.0571
100,0.8472,0.8063,0.9150,0.0545
105,0.8393,0.7950,0.9069,0.0575
110,0.8481,0.8041,0.9088,0.0552
115,0.8426,0.7961,0.9040,0.0589
120,0.8459,0.8042,0.9122,0.0571
125,0.8443,0.8020,0.9101,0.0560
130,0.8452,0.8036,0.9105,0.0563
135,0.8456,0.8044,0.9117,0.0563
140,0.8465,0.8056,0.9122,0.0561
145,0.8457,0.8048,0.9121,0.0559
150,0.8457,0.8045,0.9115,0.0558
