epoch,S,Fw,E,MAE
30,0.8699,0.7726,0.9370,0.0261
35,0.8634,0.7653,0.9280,0.0282
40,0.8673,0.7730,0.9325,0.0263
45,0.8685,0.7824,0.9342,0.0244
50,0.8697,0.7817,0.9351,0.0251
55,0.8697,0.7854,0.9356,0.0247
60,0.8668,0.7817,0.9311,0.0256
65,0.8647,0.7841,0.9344,0.0241
70,0.8687,0.7903,0.9368,0.0238
75,0.8697,0.7914,0.9366,0.0232
80,0.8686,0.7910,0.9353,0.0241
85,0.8703,0.7947,0.9382,0.0229
90,0.8674,0.7912,0.9347,0.0251
95,0.8681,0.7961,0.9364,0.0238
100,0.8701,0.7970,0.9379,0.0228
105,0.8707,0.8010,0.9387,0.0226
110,0.8685,0.7962,0.9374,0.0230
115,0.8665,0.7927,0.9349,0.0240
120,0.8677,0.7980,0.9380,0.0230
125,0.8678,0.7990,0.9391,0.0225
130,0.8676,0.7984,0.9382,0.0228
135,0.8676,0.7983,0.9378,0.0229
140,0.8676,0.7981,0.9368,0.0231
145,0.8672,0.7982,0.9383,0.0228
150,0.8677,0.7986,0.9379,0.0229
