epoch,stage,total,bce
1,C3_broad_1to1,0.302861,0.302861
2,C3_broad_1to1,0.169755,0.169755
3,C3_broad_1to1,0.110802,0.110802
4,C3_broad_1to1,0.080237,0.080237
5,C3_broad_1to1,0.063548,0.063548
6,C3_broad_1to1,0.050826,0.050826
7,C3_broad_1to1,0.045339,0.045339
8,C3_broad_1to1,0.040196,0.040196
9,C3_broad_1to1,0.034803,0.034803
10,C3_broad_1to1,0.031737,0.031737
11,C3_broad_1to1,0.030847,0.030847
12,C3_broad_1to1,0.025567,0.025567
13,C3_broad_1to1,0.024461,0.024461
14,C3_broad_1to1,0.024318,0.024318
15,C3_broad_1to1,0.022413,0.022413
16,C3_broad_1to1,0.022711,0.022711
17,C3_broad_1to1,0.022452,0.022452
18,C3_broad_1to1,0.022023,0.022023
19,C3_broad_1to1,0.022246,0.022246
20,C3_broad_1to1,0.023488,0.023488
21,C3_broad_1to1,0.018191,0.018191
22,C3_broad_1to1,0.018738,0.018738
23,C3_broad_1to1,0.018787,0.018787
24,C3_broad_1to1,0.019386,0.019386
25,C3_broad_1to1,0.017734,0.017734
26,C3_broad_1to1,0.018337,0.018337
27,C3_broad_1to1,0.017875,0.017875
28,C3_broad_1to1,0.016812,0.016812
29,C3_broad_1to1,0.017151,0.017151
30,C3_broad_1to1,0.016794,0.016794
31,C3_broad_1to1,0.016964,0.016964
32,C3_broad_1to1,0.016521,0.016521
33,C3_broad_1to1,0.017126,0.017126
34,C3_broad_1to1,0.017174,0.017174
35,C3_broad_1to1,0.015362,0.015362
36,C3_broad_1to1,0.017865,0.017865
37,C3_broad_1to1,0.016616,0.016616
38,C3_broad_1to1,0.015537,0.015537
39,C3_broad_1to1,0.016660,0.016660
40,C3_broad_1to1,0.015890,0.015890
41,C3_broad_1to1,0.016157,0.016157
42,C3_broad_1to1,0.015400,0.015400
43,C3_broad_1to1,0.014477,0.014477
44,C3_broad_1to1,0.014732,0.014732
45,C3_broad_1to1,0.015276,0.015276
46,C3_broad_1to1,0.016281,0.016281
47,C3_broad_1to1,0.015339,0.015339
48,C3_broad_1to1,0.018357,0.018357
49,C3_broad_1to1,0.016258,0.016258
50,C3_broad_1to1,0.014731,0.014731
51,C3_broad_1to1,0.014327,0.014327
52,C3_broad_1to1,0.015642,0.015642
53,C3_broad_1to1,0.015315,0.015315
54,C3_broad_1to1,0.014338,0.014338
55,C3_broad_1to1,0.014493,0.014493
