epoch,S,Fw,E,MAE
30,0.8563,0.7777,0.9157,0.0650
35,0.8527,0.7813,0.9076,0.0633
40,0.8549,0.7722,0.9087,0.0697
45,0.8574,0.7866,0.9121,0.0629
50,0.8536,0.7882,0.9101,0.0617
55,0.8474,0.7776,0.9029,0.0651
60,0.8575,0.7918,0.9127,0.0623
65,0.8398,0.8004,0.9002,0.0598
70,0.8443,0.8073,0.9019,0.0579
75,0.8436,0.8049,0.9063,0.0567
80,0.8435,0.8051,0.9065,0.0583
85,0.8438,0.8058,0.9072,0.0566
90,0.8438,0.7991,0.9017,0.0620
95,0.8497,0.8108,0.9096,0.0545
100,0.8495,0.8106,0.9105,0.0546
105,0.8455,0.8073,0.9107,0.0557
110,0.8517,0.8144,0.9122,0.0540
115,0.8500,0.8144,0.9110,0.0545
120,0.8427,0.8019,0.9038,0.0592
125,0.8463,0.8084,0.9114,0.0550
130,0.8464,0.8085,0.9116,0.0553
135,0.8479,0.8102,0.9123,0.0542
140,0.8492,0.8108,0.9130,0.0547
145,0.8480,0.8099,0.9105,0.0544
