epoch,S,Fw,E,MAE
30,0.8650,0.7291,0.9424,0.0294
35,0.8634,0.7257,0.9387,0.0289
40,0.8570,0.7113,0.9339,0.0345
45,0.8610,0.7246,0.9360,0.0306
50,0.8653,0.7417,0.9380,0.0275
55,0.8598,0.7262,0.9337,0.0293
60,0.8597,0.7281,0.9314,0.0310
65,0.8685,0.8023,0.9371,0.0227
70,0.8674,0.7995,0.9352,0.0240
75,0.8697,0.8020,0.9380,0.0231
80,0.8688,0.8000,0.9354,0.0245
85,0.8686,0.8013,0.9372,0.0234
90,0.8693,0.7978,0.9351,0.0259
95,0.8701,0.8054,0.9382,0.0229
100,0.8688,0.8023,0.9372,0.0229
105,0.8678,0.8020,0.9362,0.0238
110,0.8701,0.8027,0.9369,0.0234
115,0.8695,0.8017,0.9354,0.0235
120,0.8668,0.7985,0.9333,0.0246
125,0.8693,0.8053,0.9377,0.0230
130,0.8690,0.8049,0.9368,0.0231
135,0.8702,0.8064,0.9375,0.0229
140,0.8706,0.8067,0.9368,0.0232
145,0.8691,0.8048,0.9366,0.0232
