epoch,stage,total,bce,wbce,nc,q
1,C3_broad_1to1,0.548262,0.329055,0.329055,0.219207,2.000000
2,C3_broad_1to1,0.314553,0.189391,0.189391,0.125162,2.000000
3,C3_broad_1to1,0.227596,0.135645,0.135645,0.091951,2.000000
4,C3_broad_1to1,0.185291,0.107770,0.107770,0.077521,2.000000
5,C3_broad_1to1,0.157234,0.089628,0.089628,0.067606,2.000000
6,C3_broad_1to1,0.139114,0.077439,0.077439,0.061675,2.000000
7,C3_broad_1to1,0.134791,0.072545,0.072545,0.062246,2.000000
8,C3_broad_1to1,0.123529,0.066294,0.066294,0.057235,2.000000
9,C3_broad_1to1,0.115881,0.061243,0.061243,0.054638,2.000000
10,C3_broad_1to1,0.107275,0.056644,0.056644,0.050631,2.000000
11,C3_broad_1to1,0.109409,0.056491,0.056491,0.052919,2.000000
12,C3_broad_1to1,0.099308,0.050903,0.050903,0.048406,2.000000
13,C3_broad_1to1,0.093567,0.047728,0.047728,0.045839,2.000000
14,C3_broad_1to1,0.094936,0.048891,0.048891,0.046046,2.000000
15,C3_broad_1to1,0.090050,0.045417,0.045417,0.044633,2.000000
16,C3_broad_1to1,0.088921,0.045124,0.045124,0.043797,2.000000
17,C3_broad_1to1,0.086763,0.043779,0.043779,0.042985,2.000000
18,C3_broad_1to1,0.084627,0.042659,0.042659,0.041967,2.000000
19,C3_broad_1to1,0.080993,0.041281,0.041281,0.039711,2.000000
20,C3_broad_1to1,0.081608,0.041525,0.041525,0.040083,2.000000
21,C3_broad_1to1,0.078094,0.038793,0.038793,0.039301,2.000000
22,C3_broad_1to1,0.077668,0.039133,0.039133,0.038535,2.000000
23,C3_broad_1to1,0.076415,0.038622,0.038622,0.037793,2.000000
24,C3_broad_1to1,0.073345,0.036437,0.036437,0.036908,2.000000
25,C3_broad_1to1,0.071759,0.035990,0.035990,0.035769,2.000000
26,C3_broad_1to1,0.073092,0.036491,0.036491,0.036601,2.000000
27,C3_broad_1to1,0.068878,0.034020,0.034020,0.034858,2.000000
28,C3_broad_1to1,0.065774,0.032563,0.032563,0.033211,2.000000
29,C3_broad_1to1,0.069986,0.035381,0.035381,0.034605,2.000000
30,C3_broad_1to1,0.066297,0.032989,0.032989,0.033307,2.000000
31,C3_broad_1to1,0.064766,0.032385,0.032385,0.032381,2.000000
32,C3_broad_1to1,0.066634,0.033164,0.033164,0.033470,2.000000
33,C3_broad_1to1,0.062838,0.031179,0.031179,0.031659,2.000000
34,C3_broad_1to1,0.064187,0.032581,0.032581,0.031605,2.000000
35,C3_broad_1to1,0.060774,0.030121,0.030121,0.030654,2.000000
36,C3_broad_1to1,0.060859,0.030284,0.030284,0.030575,2.000000
37,C3_broad_1to1,0.061391,0.030708,0.030708,0.030683,2.000000
38,C3_broad_1to1,0.060382,0.030020,0.030020,0.030362,2.000000
39,C3_broad_1to1,0.062080,0.031381,0.031381,0.030699,2.000000
40,C3_broad_1to1,0.058525,0.029732,0.029732,0.028793,2.000000
41,C3_broad_1to1,0.058952,0.029636,0.029636,0.029316,2.000000
42,C3_broad_1to1,0.056685,0.028158,0.028158,0.028528,2.000000
43,C3_broad_1to1,0.055384,0.027555,0.027555,0.027829,2.000000
44,C3_broad_1to1,0.057021,0.028281,0.028281,0.028741,2.000000
45,C3_broad_1to1,0.056351,0.028285,0.028285,0.028066,2.000000
46,C3_broad_1to1,0.056594,0.028562,0.028562,0.028032,2.000000
47,C3_broad_1to1,0.055681,0.027558,0.027558,0.028123,2.000000
