epoch,S,Fw,E,MAE
30,0.8512,0.7911,0.9145,0.0622
35,0.8475,0.7821,0.9122,0.0613
40,0.8558,0.7937,0.9200,0.0594
45,0.8561,0.7913,0.9160,0.0615
50,0.8424,0.7806,0.9086,0.0629
55,0.8503,0.7805,0.9127,0.0588
60,0.8428,0.7800,0.9044,0.0632
65,0.8451,0.7826,0.9167,0.0599
70,0.8559,0.8030,0.9129,0.0558
75,0.8404,0.7891,0.9114,0.0583
80,0.8581,0.8110,0.9196,0.0550
85,0.8623,0.8153,0.9207,0.0542
90,0.8683,0.8202,0.9281,0.0499
95,0.8687,0.8280,0.9302,0.0508
100,0.8731,0.8327,0.9319,0.0490
105,0.8714,0.8302,0.9319,0.0488
110,0.8678,0.8245,0.9277,0.0502
115,0.8676,0.8251,0.9281,0.0505
120,0.8693,0.8263,0.9281,0.0501
125,0.8682,0.8236,0.9258,0.0500
130,0.8701,0.8252,0.9272,0.0494
135,0.8699,0.8248,0.9241,0.0505
140,0.8711,0.8267,0.9263,0.0494
145,0.8725,0.8280,0.9288,0.0493
150,0.8715,0.8277,0.9267,0.0494
