epoch,S,Fw,E,MAE
30,0.8674,0.7693,0.9324,0.0278
35,0.8699,0.7682,0.9375,0.0261
40,0.8703,0.7679,0.9370,0.0255
45,0.8688,0.7672,0.9330,0.0269
50,0.8625,0.7664,0.9316,0.0275
55,0.8636,0.7626,0.9324,0.0256
60,0.8614,0.7603,0.9277,0.0284
65,0.8688,0.7793,0.9380,0.0244
70,0.8736,0.7900,0.9390,0.0236
75,0.8687,0.7918,0.9386,0.0234
80,0.8698,0.7933,0.9387,0.0235
85,0.8731,0.7924,0.9402,0.0242
90,0.8745,0.7968,0.9420,0.0231
95,0.8720,0.7908,0.9361,0.0243
100,0.8700,0.7894,0.9374,0.0261
105,0.8681,0.7826,0.9347,0.0264
110,0.8692,0.7883,0.9374,0.0242
115,0.8668,0.7802,0.9358,0.0265
120,0.8705,0.7843,0.9378,0.0243
125,0.8688,0.7821,0.9335,0.0246
130,0.8699,0.7826,0.9351,0.0245
135,0.8698,0.7800,0.9333,0.0252
140,0.8712,0.7843,0.9358,0.0246
145,0.8706,0.7828,0.9356,0.0245
150,0.8696,0.7819,0.9345,0.0248
